season,player_id,games,passing_yards,passing_tds,interceptions,rushing_yards,rushing_tds,receptions,targets,receiving_yards,receiving_tds,fantasy_points,fantasy_points_ppr,calculated_points,position,passing_yards_per_game,passing_tds_per_game,interceptions_per_game,rushing_yards_per_game,rushing_tds_per_game,receptions_per_game,targets_per_game,receiving_yards_per_game,receiving_tds_per_game,fantasy_points_per_game,calculated_points_per_game
2019,00-0023564,6,0.0,0,0.0,66.0,0,6,10,24.0,0,11.0,17.0,12.0,RB,0.0,0.0,0.0,11.0,0.0,1.0,1.6666666666666667,4.0,0.0,1.8333333333333333,2.0
2017,00-0023645,3,17.0,0,0.0,-2.0,0,0,0,0.0,0,0.48000000000000004,0.48000000000000004,0.48000000000000004,QB,5.666666666666667,0.0,0.0,-0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.16,0.16
2018,00-0023645,2,465.0,0,4.0,-1.0,0,0,0,0.0,0,6.5,6.5,26.5,QB,232.5,0.0,2.0,-0.5,0.0,0.0,0.0,0.0,0.0,3.25,13.25
2017,00-0023662,2,162.0,1,2.0,0.0,0,0,0,0.0,0,2.4800000000000004,2.4800000000000004,14.48,QB,81.0,0.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2400000000000002,7.24
2018,00-0023662,2,59.0,0,1.0,13.0,0,0,0,0.0,0,1.6600000000000001,1.6600000000000001,5.659999999999999,QB,29.5,0.0,0.5,6.5,0.0,0.0,0.0,0.0,0.0,0.8300000000000001,2.8299999999999996
2017,00-0023682,6,1103.0,7,3.0,78.0,0,0,0,0.0,0,73.92,73.92,85.92,QB,183.83333333333334,1.1666666666666667,0.5,13.0,0.0,0.0,0.0,0.0,0.0,12.32,14.32
2018,00-0023682,8,2366.0,17,12.0,152.0,2,0,0,0.0,0,165.84,165.84,213.83999999999997,QB,295.75,2.125,1.5,19.0,0.25,0.0,0.0,0.0,0.0,20.73,26.729999999999997
2019,00-0023682,15,3529.0,20,13.0,243.0,4,0,0,0.0,0,241.46,241.46,295.46,QB,235.26666666666668,1.3333333333333333,0.8666666666666667,16.2,0.26666666666666666,0.0,0.0,0.0,0.0,16.097333333333335,19.697333333333333
2020,00-0023682,9,2091.0,13,8.0,151.0,2,1,1,0.0,0,152.74,153.74,179.23999999999998,QB,232.33333333333334,1.4444444444444444,0.8888888888888888,16.77777777777778,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.0,16.971111111111114,19.915555555555553
2021,00-0023682,1,13.0,0,0.0,2.0,0,0,0,0.0,0,0.72,0.72,0.72,QB,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.72,0.72
2017,00-0023742,1,-4.0,0,0.0,0.0,0,0,0,0.0,0,-0.16,-0.16,-0.16,PN,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16,-0.16
2018,00-0023853,1,8.0,1,0.0,0.0,0,0,0,0.0,0,4.32,4.32,4.32,PK,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.32,4.32
2017,00-0024221,16,0.0,0,0.0,0.0,0,43,69,648.0,3,78.8,121.8,104.3,TE,0.0,0.0,0.0,0.0,0.0,2.6875,4.3125,40.5,0.1875,4.925,6.51875
2018,00-0024221,13,0.0,0,0.0,0.0,0,25,36,367.0,2,50.7,75.7,61.2,TE,0.0,0.0,0.0,0.0,0.0,1.9230769230769231,2.769230769230769,28.23076923076923,0.15384615384615385,3.9000000000000004,4.707692307692308
2019,00-0024221,4,0.0,0,0.0,0.0,0,10,19,123.0,1,18.3,28.3,23.3,TE,0.0,0.0,0.0,0.0,0.0,2.5,4.75,30.75,0.25,4.575,5.825
2017,00-0024226,14,2666.0,19,14.0,32.0,0,0,0,0.0,0,157.84,157.84,213.83999999999997,QB,190.42857142857142,1.3571428571428572,1.0,2.2857142857142856,0.0,0.0,0.0,0.0,0.0,11.274285714285714,15.274285714285712
2017,00-0024243,16,0.0,0,0.0,0.0,0,24,48,318.0,5,63.800000000000004,87.8,73.8,TE,0.0,0.0,0.0,0.0,0.0,1.5,3.0,19.875,0.3125,3.9875000000000003,4.6125
2018,00-0024243,4,0.0,0,0.0,0.0,0,3,4,39.0,0,3.9,6.9,5.4,TE,0.0,0.0,0.0,0.0,0.0,0.75,1.0,9.75,0.0,0.975,1.35
2019,00-0024243,12,0.0,0,0.0,0.0,0,15,19,156.0,1,21.6,36.6,29.1,TE,0.0,0.0,0.0,0.0,0.0,1.25,1.5833333333333333,13.0,0.08333333333333333,1.8,2.4250000000000003
2020,00-0024243,10,0.0,0,0.0,0.0,0,10,17,107.0,3,28.7,38.7,33.7,TE,0.0,0.0,0.0,0.0,0.0,1.0,1.7,10.7,0.3,2.87,3.37
2021,00-0024243,13,0.0,0,0.0,0.0,0,23,28,214.0,0,21.400000000000002,44.400000000000006,32.900000000000006,TE,0.0,0.0,0.0,0.0,0.0,1.7692307692307692,2.1538461538461537,16.46153846153846,0.0,1.6461538461538463,2.530769230769231
2022,00-0024243,6,0.0,0,0.0,0.0,0,6,7,66.0,2,20.6,26.6,21.6,TE,0.0,0.0,0.0,0.0,0.0,1.0,1.1666666666666667,11.0,0.3333333333333333,3.4333333333333336,3.6
2023,00-0024243,5,0.0,0,0.0,0.0,0,4,5,29.0,1,8.9,12.899999999999999,10.9,TE,0.0,0.0,0.0,0.0,0.0,0.8,1.0,5.8,0.2,1.78,2.18
2017,00-0024264,3,36.0,0,1.0,-5.0,0,0,0,0.0,0,-1.0599999999999998,-1.0599999999999998,2.94,QB,12.0,0.0,0.3333333333333333,-1.6666666666666667,0.0,0.0,0.0,0.0,0.0,-0.3533333333333333,0.98
2017,00-0024268,8,0.0,0,0.0,0.0,0,12,16,107.0,1,16.7,28.7,22.700000000000003,TE,0.0,0.0,0.0,0.0,0.0,1.5,2.0,13.375,0.125,2.0875,2.8375000000000004
2017,00-0024334,5,0.0,0,0.0,0.0,0,18,33,154.0,0,15.400000000000002,33.400000000000006,24.4,WR,0.0,0.0,0.0,0.0,0.0,3.6,6.6,30.8,0.0,3.0800000000000005,4.88
2018,00-0024334,6,0.0,0,0.0,0.0,0,11,23,136.0,1,19.6,30.6,25.1,WR,0.0,0.0,0.0,0.0,0.0,1.8333333333333333,3.8333333333333335,22.666666666666668,0.16666666666666666,3.266666666666667,4.183333333333334
2017,00-0024348,1,0.0,0,0.0,1.0,1,0,0,0.0,0,6.1,6.1,6.1,DT,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,6.1,6.1
2018,00-0024348,1,0.0,0,0.0,0.0,0,1,1,9.0,0,0.9,1.9,1.4,DT,0.0,0.0,0.0,0.0,0.0,1.0,1.0,9.0,0.0,0.9,1.4
2017,00-0024389,16,0.0,0,0.0,-2.0,1,74,111,807.0,3,100.5,174.5,141.5,TE,0.0,0.0,0.0,-0.125,0.0625,4.625,6.9375,50.4375,0.1875,6.28125,8.84375
2018,00-0024389,1,0.0,0,0.0,0.0,0,4,7,52.0,0,5.2,9.2,7.2,TE,0.0,0.0,0.0,0.0,0.0,4.0,7.0,52.0,0.0,5.2,7.2
2019,00-0024389,6,0.0,0,0.0,0.0,0,21,31,215.0,2,33.5,54.5,44.0,TE,0.0,0.0,0.0,0.0,0.0,3.5,5.166666666666667,35.833333333333336,0.3333333333333333,5.583333333333333,7.333333333333333
